id,title,subtitle,poster,url,star_time
1482426032,才女之累,[美] 艾朗诺 / 2017 / 上海古籍出版社,https://img9.doubanio.com/view/subject/l/public/s29476751.jpg,https://book.douban.com/subject/27011516/,2021-02-23 12:05:08
2754831246,故事新编,鲁迅 / 2015 / 天津人民出版社,https://img9.doubanio.com/view/subject/l/public/s27967429.jpg,https://book.douban.com/subject/26285194/,2021-02-19 16:03:22
2752103064,飘（上下）,[美国] 玛格丽特·米切尔 / 2010 / 译林出版社,https://img9.doubanio.com/view/subject/l/public/s29479921.jpg,https://book.douban.com/subject/4893870/,2021-02-18 17:46:07
2603252322,阅读浪漫小说,[美国]珍妮斯•A. 拉德威 / 2020 / 译林出版社,https://img9.doubanio.com/view/subject/l/public/s33687599.jpg,https://book.douban.com/subject/35032242/,2021-02-13 12:28:38
2730321309,春雪,[日] 三岛由纪夫 / 2020 / 天津人民出版社,https://img9.doubanio.com/view/subject/l/public/s33790521.jpg,https://book.douban.com/subject/35290865/,2021-02-08 23:13:22
2719709422,慎余堂,李静睿 / 2021 / 广西师范大学出版社,https://img9.doubanio.com/view/subject/l/public/s33770734.jpg,https://book.douban.com/subject/35236989/,2021-02-01 19:48:47
2710074696,荣国府的经济账,陈大康 / 2019 / 人民文学出版社,https://img9.doubanio.com/view/subject/l/public/s33594361.jpg,https://book.douban.com/subject/34454497/,2021-01-26 15:28:06
2706952550,来自新世界 （上下）,[日] 贵志祐介 / 2014 / 上海译文出版社,https://img9.doubanio.com/view/subject/l/public/s27251177.jpg,https://book.douban.com/subject/25752955/,2021-01-24 17:18:06
2692800115,台北人,白先勇 / 2010 / 广西师范大学出版社,https://img9.doubanio.com/view/subject/l/public/s4526465.jpg,https://book.douban.com/subject/5337248/,2021-01-15 12:52:01
2691554377,纽约客,白先勇 / 2010 / 广西师范大学出版社,https://img9.doubanio.com/view/subject/l/public/s4526473.jpg,https://book.douban.com/subject/5337243/,2021-01-14 15:35:08
2688510155,古诗十九首讲录,刘炜 / 2016 / 中国社会科学出版社,https://img9.doubanio.com/view/subject/l/public/s33447469.jpg,https://book.douban.com/subject/26879079/,2021-01-12 14:04:02
