id,title,subtitle,poster,pubdate,url,rating,genres,star,star_time
2663927603,金光御九界之墨武侠锋,2014 / 中国台湾 / 奇幻 武侠 古装 / 周俊豪 王钟庆 黄立纲,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2196184350.jpg,2014-09-03,https://movie.douban.com/subject/25960764/,9.3,"奇幻,武侠,古装",4.5,2020-10-20 20:25:51
,《面试》中文版 INTERVIEW,,https://img9.doubanio.com/pview/drama_subject_poster/median/public/9c2e879d710c176.jpg,,https://www.douban.com/location/drama/34891317/,,,,2020-10-18 14:22:33
2663927063,天地风云录之魔戮血战,2014 / 中国台湾 / 奇幻 武侠 / 黃立綱,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2166569170.jpg,2014-01-15,https://movie.douban.com/subject/25806715/,9.3,"奇幻,武侠",4.5,2020-10-07 20:25:51
2663926232,天地风云录之剑影魔踪,2013 / 中国台湾 / 剧情 奇幻 武侠 / 黃立綱,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2521190374.jpg,2013-08-28(中国台湾),https://movie.douban.com/subject/25453612/,9.4,"剧情,奇幻,武侠",4.5,2020-10-02 20:25:51
2550639431,姜子牙,2020 / 中国大陆 / 剧情 动画 奇幻 / 程腾 李炜 / 郑希 杨凝,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2621219978.jpg,2020-10-01(中国大陆),https://movie.douban.com/subject/25907124/,6.6,"剧情,动画,奇幻",3.5,2020-10-02 15:07:06
2663925305,天地风云录之九龙变,2012 / 中国台湾 / 奇幻 武侠 古装 / 黃立綱,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2508627866.jpg,2012-12-05,https://movie.douban.com/subject/20284982/,9.5,"奇幻,武侠,古装",4,2020-09-18 20:24:17
2498100006,半泽直树,2013 / 日本 / 剧情 / 福泽克雄 棚泽孝义 田中健太 / 堺雅人 上户彩,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2411814194.jpg,2013-07-07(日本),https://movie.douban.com/subject/24697949/,9.2,剧情,4.5,2020-08-19 10:51:22
,您拨打的电话已结婚,,https://dscdn.streetvoice.cn/media/uploads/%E8%AE%B8%E9%A3%9E2020%E5%85%A8%E5%9B%BD%E5%B7%A1%E6%BC%941.jpg,,https://dashi.streetvoice.cn/article/20200713/002/,,,,2020-08-15 18:00
1687715746,星际穿越,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险 / 克里斯托弗·诺兰 / 马修·麦康纳 安妮·海瑟薇,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2614988097.jpg,2014-11-12(中国大陆),https://movie.douban.com/subject/1889243/,9.4,"剧情,科幻,冒险",4,2020-08-07 00:39:09
2427924495,魔女宅急便,1989 / 日本 / 动画 奇幻 冒险 / 宫崎骏 / 高山南 佐久间玲,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p456676352.jpg,1989-07-29(日本),https://movie.douban.com/subject/1307811/,8.7,"动画,奇幻,冒险",4.5,2020-06-22 20:11:50
2425352629,深夜食堂,2009 / 日本 / 剧情 / 松冈锭司 山下敦弘 及川拓郎 / 小林薰 须藤理彩,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1584946881.jpg,2009-10-09(日本),https://movie.douban.com/subject/3991933/,9.2,剧情,4.5,2020-06-20 18:38:29
2423765980,驯龙高手,2010 / 美国 / 动画 奇幻 冒险 / 迪恩·德布洛斯 克里斯·桑德斯 / 杰伊·巴鲁切尔 杰拉德·巴特勒,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2210954024.jpg,2010-05-14(中国大陆),https://movie.douban.com/subject/2353023/,8.7,"动画,奇幻,冒险",4.5,2020-06-19 09:31:09
2404534744,别对映像研出手！,2020 / 日本 / 动画 / 汤浅政明 大雄男 山代风我 伊福觉志 井上圭介 藤仓拓也 野口花梨 本桥茉里 殿水敦子 佐佐木纯人 长屋诚志郎 五十岚祐贵 / 伊藤沙莉 松冈美里,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2584313356.jpg,2020-01-05(日本),https://movie.douban.com/subject/33438250/,9.4,动画,5,2020-06-01 00:57:03
1455780122,人生删除事务所,2018 / 日本 / 剧情 犯罪 / 泷本智行 常广丈太 / 山田孝之 菅田将晖,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2529175001.jpg,2018-07-27(日本),https://movie.douban.com/subject/30232260/,8.6,"剧情,犯罪",4.5,2020-06-01 00:56:03
2372607871,非自然死亡,2018 / 日本 / 剧情 悬疑 / 冢原亚由子 竹村谦太郎 村尾嘉昭 / 石原里美 井浦新,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2510604929.jpg,2018-01-12(日本),https://movie.douban.com/subject/27140017/,9.4,"剧情,悬疑",4.5,2020-05-05 17:09:30
